Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1094,80,RL,108.0,9230,Pave,Pave,IR1,HLS,AllPub,Corner,Gtl,Blueste,RRAn,Norm,1Fam,SLvl,9,8,1985,1985,Gambrel,WdShngl,CemntBd,Other,Stone,166.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,661,GLQ,634,1393,1393,GasW,Ex,Y,SBrkr,1482,1177,360,2599,1,1,2,1,4,1,Ex,10,Min1,1,Gd,BuiltIn,2010.0,Fin,3,884,Ex,Gd,P,668,95,224,162,155,0,,MnWw,Shed,2000,12,2009,New,Partial,333168
1314,80,RL,118.0,14774,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Artery,Norm,1Fam,SLvl,9,8,1993,2010,Gambrel,CompShg,CemntBd,CmentBd,Stone,165.0,Ex,Gd,PConc,Ex,TA,Gd,GLQ,871,BLQ,177,82,2223,GasA,Ex,Y,SBrkr,2223,780,572,2262,1,1,2,1,4,1,Ex,10,Min1,1,Gd,BuiltIn,2010.0,Fin,3,749,Gd,TA,Y,468,81,240,407,198,0,,MnWw,Shed,500,9,2009,New,Partial,305000
620,80,RL,103.0,12244,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Artery,Norm,1Fam,SLvl,9,8,1993,2010,Mansard,CompShg,VinylSd,VinylSd,Stone,226.0,Ex,Gd,PConc,Ex,TA,Gd,GLQ,1880,BLQ,117,1541,868,GasA,Ex,Y,SBrkr,1146,1215,0,2223,1,1,2,1,4,1,Ex,8,Typ,1,Gd,BuiltIn,1924.0,Fin,3,843,Gd,TA,Y,84,81,275,180,122,0,,MnWw,Shed,480,12,2008,New,Partial,244000
71,85,RL,101.0,13651,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Artery,Norm,1Fam,SLvl,9,8,1928,2010,Hip,CompShg,VinylSd,BrkFace,Stone,1115.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1646,BLQ,193,397,1930,GasA,Ex,Y,SBrkr,1541,850,0,1146,1,1,2,1,4,1,Ex,8,Typ,1,Gd,BuiltIn,1948.0,Fin,3,833,TA,TA,Y,416,16,156,196,273,0,,MnWw,Shed,700,12,2009,New,Partial,395192
732,85,RL,,9590,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Artery,Norm,1Fam,SLvl,9,9,1995,1988,Hip,CompShg,VinylSd,VinylSd,Stone,442.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,380,BLQ,28,398,1541,GasA,Ex,Y,SBrkr,1065,653,0,1940,1,0,2,1,4,1,Ex,9,Min2,1,Gd,BuiltIn,1993.0,Fin,3,701,TA,TA,Y,64,52,242,0,119,0,,GdPrv,Shed,600,9,2008,New,Partial,175900
988,80,RL,44.0,10159,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,RRAn,Norm,1Fam,2Story,9,5,1993,1993,Hip,CompShg,CemntBd,VinylSd,Stone,450.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,988,GLQ,117,422,1386,GasA,Ex,Y,SBrkr,1569,800,0,1541,1,0,2,1,4,1,Ex,8,Typ,1,Gd,BuiltIn,2010.0,Fin,3,458,TA,TA,Y,305,110,230,0,189,0,,MnWw,Shed,1150,9,2009,New,Partial,238000
303,60,RL,93.0,13704,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Artery,Norm,1Fam,2Story,9,5,2010,1966,Hip,CompShg,BrkFace,VinylSd,Stone,150.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,48,Unf,612,1048,1104,GasA,Ex,Y,SBrkr,2196,564,0,1911,1,0,2,1,4,1,Ex,8,Typ,1,Gd,BuiltIn,1993.0,Fin,3,758,TA,TA,Y,241,189,192,0,198,0,,MnPrv,Shed,2500,9,2008,New,Partial,265900
507,60,RL,104.0,9554,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,RRAn,Norm,1Fam,2Story,9,5,1993,1999,Hip,CompShg,VinylSd,VinylSd,Stone,130.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,485,Unf,117,1258,1476,GasA,Ex,Y,SBrkr,1127,1122,0,1569,1,0,2,1,4,1,Ex,10,Typ,1,Gd,BuiltIn,1925.0,Fin,3,296,TA,TA,Y,416,53,84,0,480,0,,GdPrv,Shed,400,8,2007,New,Partial,271900
1416,60,RL,107.0,3635,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,1966,1993,Mansard,CompShg,VinylSd,CmentBd,Stone,32.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1040,Unf,539,352,1258,GasA,Ex,Y,SBrkr,1563,1362,0,2127,1,0,2,1,4,1,Ex,8,Typ,1,Gd,Basment,2008.0,Fin,3,530,TA,TA,Y,468,144,386,0,120,0,,MnPrv,Shed,600,12,2007,New,Partial,245000
919,60,RL,118.0,13125,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,9,5,1964,1980,Hip,CompShg,VinylSd,VinylSd,Stone,234.0,Ex,Gd,PConc,Ex,TA,Gd,GLQ,33,Unf,208,374,2158,GasA,Ex,Y,SBrkr,1431,755,0,2196,1,0,2,1,4,1,Ex,8,Typ,1,Gd,Attchd,1966.0,Fin,3,772,TA,TA,Y,160,84,112,0,204,0,,GdPrv,Shed,500,8,2009,New,Partial,138500
1240,120,RL,53.0,9037,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,1964,1981,Hip,CompShg,VinylSd,VinylSd,Stone,387.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,371,Unf,117,1530,1563,GasA,Ex,Y,SBrkr,1168,1053,0,1977,1,0,2,1,4,1,Ex,11,Typ,1,Gd,Attchd,1993.0,Fin,3,482,TA,TA,Y,324,144,224,0,189,0,,MnPrv,Shed,2000,8,2007,New,Partial,164000
444,60,RL,53.0,3922,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,8,5,2008,2009,Hip,CompShg,VinylSd,VinylSd,Stone,272.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,364,Unf,1474,500,1099,GasA,Ex,Y,SBrkr,1082,846,0,1563,1,0,2,1,4,1,Ex,10,Typ,1,Gd,Attchd,1948.0,Fin,3,712,TA,TA,Y,668,84,112,0,266,0,,MnPrv,Shed,400,8,2007,New,Partial,172000
1206,60,RL,108.0,14684,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,9,5,1966,1980,Hip,CompShg,VinylSd,VinylSd,Stone,468.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,622,Unf,539,29,1122,GasA,Ex,Y,SBrkr,1704,975,0,1431,1,0,2,1,4,1,Ex,8,Typ,1,Gd,Attchd,2008.0,Fin,3,1052,TA,TA,Y,161,81,112,0,192,0,,MnPrv,Shed,400,2,2007,New,Partial,119200
831,60,RL,98.0,11900,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,1993,1968,Hip,CompShg,CemntBd,VinylSd,Stone,305.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,562,Unf,290,746,1082,GasA,Ex,Y,SBrkr,720,1312,0,1646,1,0,2,1,4,1,Ex,9,Typ,1,Gd,Attchd,1993.0,Fin,3,541,TA,TA,Y,340,16,112,0,410,0,,MnPrv,Shed,400,2,2010,New,Partial,306000
1053,60,RL,69.0,9150,Pave,,IR1,Lvl,AllPub,FR3,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1964,2009,Hip,CompShg,VinylSd,VinylSd,Stone,125.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1373,Unf,147,486,1704,GasA,Ex,Y,SBrkr,1646,1194,0,1981,1,0,2,1,4,1,Ex,8,Typ,1,Gd,Attchd,2009.0,Fin,3,476,TA,TA,Y,60,10,68,0,273,0,,GdPrv,Shed,2000,8,2009,New,Partial,118400
83,60,RL,128.0,7128,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1980,1968,Hip,CompShg,BrkFace,CmentBd,BrkFace,206.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1032,Unf,972,408,1594,GasA,Ex,Y,SBrkr,1466,1177,0,1968,1,0,2,1,4,1,Ex,8,Typ,1,Gd,Attchd,1941.0,Fin,3,712,TA,TA,Y,228,67,386,0,120,0,,MnPrv,Shed,620,2,2009,New,Partial,424870
368,60,RL,,7804,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,8,1980,1980,Hip,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,Gd,PConc,Ex,TA,Gd,GLQ,1150,Unf,362,1012,1463,GasA,Ex,Y,SBrkr,1153,564,0,1082,1,0,2,1,4,1,Ex,12,Typ,1,Gd,Attchd,1941.0,Fin,3,478,TA,TA,Y,172,148,68,0,163,0,,GdPrv,,450,8,2010,COD,Partial,222500
699,60,RL,69.0,11075,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2008,1966,Hip,CompShg,VinylSd,VinylSd,Stone,174.0,Gd,TA,PConc,Ex,Gd,Gd,GLQ,252,Unf,287,221,1466,GasA,Ex,Y,SBrkr,977,1336,0,1704,1,0,2,1,4,1,Ex,8,Typ,1,Gd,Attchd,2008.0,Fin,3,836,TA,TA,Y,165,46,194,0,120,0,,MnPrv,,0,12,2008,New,Partial,150000
853,120,RL,107.0,11664,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,1980,1981,Hip,CompShg,VinylSd,ImStucc,BrkFace,362.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,567,Unf,163,901,1153,GasA,Ex,Y,SBrkr,1053,1274,0,1284,1,0,2,1,4,1,Ex,8,Typ,1,Gd,Attchd,1966.0,Fin,3,866,TA,TA,Y,232,84,154,0,122,0,,MnPrv,,0,8,2008,New,Normal,207000
1131,60,RL,44.0,11478,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2008,2010,Hip,CompShg,CemntBd,VinylSd,BrkFace,202.0,Gd,TA,PConc,Ex,TA,Av,GLQ,762,Unf,0,741,741,GasA,Ex,Y,SBrkr,1358,1092,0,1012,1,0,2,1,4,1,Ex,9,Typ,1,TA,Attchd,1993.0,Fin,3,843,TA,TA,Y,283,148,240,0,0,0,,GdPrv,,0,9,2009,New,Normal,283463
954,60,RL,,3500,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,1947,1993,Hip,CompShg,HdBoard,VinylSd,BrkFace,85.0,Gd,TA,PConc,Ex,TA,Mn,GLQ,720,Unf,0,413,1358,GasA,Ex,Y,SBrkr,1392,918,0,1646,1,0,2,1,4,1,Ex,6,Typ,1,TA,Attchd,1983.0,Fin,3,556,TA,TA,Y,239,154,40,0,0,0,,MnWw,,0,8,2007,New,Normal,138500
1015,60,RL,61.0,8263,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,8,2008,2007,Hip,CompShg,VinylSd,CmentBd,Stone,146.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,80,Unf,0,102,1732,GasA,Ex,Y,SBrkr,1776,734,0,2622,1,0,2,1,4,1,Ex,6,Typ,1,TA,Attchd,2007.0,Fin,3,666,TA,TA,Y,160,169,39,0,0,0,,MnPrv,,0,8,2007,COD,Normal,148000
28,60,RL,56.0,3842,Pave,,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Artery,Norm,1Fam,2Story,8,5,2009,1973,Hip,CompShg,VinylSd,VinylSd,BrkFace,100.0,Gd,TA,PConc,Ex,TA,Av,GLQ,644,LwQ,0,638,1193,GasA,Ex,Y,SBrkr,1523,1092,0,2828,1,0,2,1,4,1,Ex,6,Typ,1,TA,Attchd,2007.0,Fin,3,648,TA,TA,Y,171,63,112,0,0,0,,MnPrv,,0,9,2010,New,Normal,372402
205,120,RL,90.0,12256,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,1980,1968,Hip,CompShg,HdBoard,VinylSd,Stone,160.0,Gd,TA,PConc,Ex,TA,No,GLQ,704,Unf,0,1392,1271,GasA,Ex,Y,SBrkr,1601,1093,0,1732,1,0,2,1,1,1,Ex,9,Typ,1,Gd,Attchd,1981.0,Fin,3,884,TA,TA,Y,320,86,0,0,0,0,,MnPrv,,0,12,2007,WD,Normal,205000
1121,80,RL,69.0,9965,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,2Story,10,5,2006,1991,Hip,CompShg,CemntBd,CmentBd,BrkFace,206.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,553,Unf,0,1652,1145,GasA,Ex,Y,SBrkr,1145,743,0,1053,1,0,2,1,3,1,Ex,6,Typ,1,Gd,Attchd,2006.0,Fin,3,680,TA,TA,Y,234,42,0,0,0,0,,MnWw,Shed,0,2,2010,WD,Normal,277500
1406,60,RL,88.0,11404,Pave,,IR1,Lvl,AllPub,FR2,Gtl,Timber,Norm,Norm,TwnhsE,2Story,8,5,2006,1994,Hip,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,899,Unf,0,549,1109,GasA,Ex,Y,SBrkr,1155,708,0,1358,1,0,2,1,4,1,Ex,6,Typ,1,Ex,Attchd,1993.0,RFn,3,301,TA,TA,Y,113,33,0,0,0,0,,MnPrv,,450,12,2010,WD,Normal,172500
1106,120,RL,98.0,9206,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,1966,2010,Hip,CompShg,HdBoard,HdBoard,Stone,436.0,Gd,TA,PConc,Ex,TA,Mn,GLQ,1400,Unf,0,567,1710,GasA,Ex,Y,SBrkr,1710,790,0,1523,1,0,2,1,3,1,Gd,6,Typ,1,Gd,Attchd,1950.0,RFn,4,908,TA,TA,Y,206,62,0,0,0,0,,MnPrv,,0,8,2008,WD,Normal,361919
1143,60,RL,69.0,8973,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,2Story,8,5,2006,1988,Hip,CompShg,HdBoard,HdBoard,BrkFace,150.0,Gd,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,224,1541,GasA,Ex,Y,SBrkr,1541,878,0,1601,1,0,2,1,3,1,Gd,9,Typ,1,Gd,Attchd,2007.0,Fin,3,656,TA,TA,Y,181,35,123,0,126,0,,GdPrv,,0,5,2009,WD,Partial,269500
733,120,RL,47.0,13350,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,1Story,8,5,1981,2008,Mansard,CompShg,VinylSd,VinylSd,BrkFace,1600.0,Gd,TA,PConc,Ex,TA,No,GLQ,649,Unf,40,210,1561,GasA,Ex,Y,SBrkr,1561,1185,0,2198,1,0,2,1,4,1,Gd,6,Typ,1,Gd,Attchd,2008.0,Fin,3,820,TA,TA,Y,33,16,0,0,0,0,,MnPrv,,0,4,2007,WD,Normal,333168
102,120,RL,105.0,8198,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,1Story,8,5,1904,2009,Hip,CompShg,HdBoard,HdBoard,BrkFace,72.0,Gd,TA,PConc,Ex,TA,No,GLQ,895,Unf,0,1541,1258,GasA,Ex,Y,SBrkr,1258,665,0,1155,1,0,2,1,4,1,Ex,6,Typ,1,TA,Attchd,1980.0,Fin,3,505,TA,TA,Y,414,30,0,0,0,0,,GdPrv,,0,5,2010,WD,Normal,157900
130,60,RL,98.0,13560,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,8,2006,2007,Hip,CompShg,VinylSd,VinylSd,BrkFace,466.0,Gd,Gd,PConc,Ex,TA,Av,GLQ,661,Unf,0,408,774,GasA,Ex,Y,SBrkr,975,831,0,1710,1,0,2,1,3,1,Gd,6,Typ,1,Gd,Attchd,1973.0,RFn,3,983,TA,TA,Y,250,22,0,0,0,0,,MnPrv,,0,5,2007,New,Normal,122900
778,120,RL,98.0,15306,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,1961,1964,Hip,CompShg,HdBoard,HdBoard,BrkFace,166.0,Gd,TA,PConc,Ex,TA,No,GLQ,312,Unf,0,1258,1393,GasA,Ex,Y,SBrkr,1264,1370,0,1541,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,1948.0,Fin,4,866,TA,TA,Y,250,129,0,0,0,0,,GdPrv,,0,5,2009,WD,Normal,336000
334,80,RL,82.0,11361,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,10,5,2006,2008,Hip,CompShg,HdBoard,HdBoard,Stone,165.0,Gd,TA,PConc,Ex,TA,No,GLQ,608,Unf,0,326,720,GasA,Ex,Y,SBrkr,1422,904,0,1561,1,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,1973.0,Fin,3,860,TA,TA,Y,115,116,0,0,0,0,,MnPrv,,0,8,2008,WD,Partial,255500
663,60,RL,,11880,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,TwnhsE,SLvl,8,5,1999,1991,Hip,CompShg,VinylSd,VinylSd,BrkFace,243.0,Gd,TA,PConc,Ex,TA,Av,GLQ,81,Unf,0,197,716,GasA,Ex,Y,SBrkr,720,1040,0,1950,1,0,2,1,3,1,Gd,6,Typ,1,Gd,Attchd,1980.0,Fin,3,541,TA,TA,Y,156,84,0,162,0,0,,GdPrv,,0,1,2007,COD,Normal,611657
1348,120,RL,82.0,8450,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,9,5,1880,1999,Hip,CompShg,HdBoard,HdBoard,Stone,237.0,Gd,TA,PConc,Ex,TA,Av,GLQ,854,Unf,0,343,1319,GasA,Ex,Y,SBrkr,716,769,0,2576,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,1983.0,RFn,3,666,TA,TA,Y,180,39,0,0,192,0,,MnPrv,,0,7,2007,WD,Normal,276000
1056,60,RL,104.0,14260,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,PosN,1Fam,1Story,8,5,1996,2009,Hip,CompShg,VinylSd,VinylSd,BrkFace,975.0,Gd,TA,PConc,Ex,TA,No,GLQ,987,Unf,0,203,1442,GasA,Ex,Y,SBrkr,1537,780,0,1968,1,0,2,1,3,1,Gd,9,Typ,1,TA,Attchd,2010.0,RFn,3,478,TA,TA,Y,250,78,0,0,0,0,,MnPrv,,0,5,2008,WD,Normal,149500
1100,60,RL,80.0,11782,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,1Fam,2Story,8,8,1892,2007,Hip,CompShg,CemntBd,CmentBd,BrkFace,250.0,Gd,TA,PConc,Ex,TA,Mn,GLQ,2188,Unf,0,774,1225,GasA,Ex,Y,SBrkr,1717,677,0,2599,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2007.0,RFn,3,812,TA,TA,Y,239,10,0,0,0,0,,MnPrv,,0,2,2010,WD,Normal,201800
699,120,RL,98.0,13891,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Artery,Norm,1Fam,2Story,8,5,1991,1990,Hip,CompShg,VinylSd,VinylSd,Stone,256.0,Gd,TA,PConc,Ex,TA,No,GLQ,1024,Unf,0,1393,1709,GasA,Ex,Y,SBrkr,1372,630,0,1284,1,0,2,1,3,1,Gd,6,Typ,1,Po,Attchd,2009.0,RFn,3,430,TA,TA,Y,519,33,0,0,0,0,,MnPrv,,0,12,2010,New,Normal,276000
5,120,RL,80.0,13704,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,PosN,Norm,1Fam,1Story,8,5,1968,2008,Hip,CompShg,VinylSd,VinylSd,BrkFace,760.0,Gd,Gd,PConc,Ex,TA,No,GLQ,454,Unf,0,408,1347,GasA,Ex,Y,SBrkr,2364,813,0,1556,1,0,2,1,3,1,Gd,6,Typ,1,Gd,Attchd,2007.0,RFn,3,656,TA,TA,Y,127,124,0,0,0,0,,MnPrv,,0,7,2007,WD,Normal,341000
879,60,RL,48.0,7313,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,2Story,8,8,1904,2008,Hip,CompShg,VinylSd,HdBoard,BrkFace,42.0,Gd,TA,PConc,Gd,TA,No,GLQ,394,Unf,0,834,2330,GasA,Ex,Y,SBrkr,1482,1320,0,1537,1,0,2,1,3,1,Gd,9,Typ,1,Gd,Attchd,1964.0,Fin,3,462,TA,TA,Y,201,84,0,0,0,0,,MnPrv,,0,6,2007,WD,Normal,372402
152,120,RL,116.0,3922,Pave,,Reg,HLS,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2009,1980,Mansard,WdShngl,HdBoard,VinylSd,BrkFace,651.0,Gd,TA,PConc,Ex,TA,No,GLQ,1173,LwQ,0,23,1482,GasA,Ex,Y,SBrkr,1505,574,0,2612,1,0,2,1,2,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,871,TA,TA,Y,431,66,160,0,0,0,,MnPrv,,0,3,2010,WD,Normal,180500
303,60,RL,96.0,7399,Pave,,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Artery,Norm,1Fam,1Story,8,5,1965,1957,Hip,CompShg,VinylSd,HdBoard,BrkFace,436.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,1400,Unf,0,1319,1505,GasA,Gd,Y,SBrkr,1482,1336,572,2646,1,0,2,1,2,1,Gd,6,Typ,1,TA,Attchd,1996.0,RFn,3,868,TA,TA,Y,270,42,216,0,0,0,,GdPrv,,0,6,2008,WD,Normal,295493
35,120,RL,43.0,12438,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,8,5,1996,1968,Hip,CompShg,HdBoard,VinylSd,BrkCmn,128.0,Gd,TA,PConc,Gd,TA,No,GLQ,594,Unf,0,672,1482,GasA,Ex,Y,SBrkr,1325,1336,0,2364,1,0,2,1,4,1,Gd,8,Typ,1,Gd,Attchd,1961.0,RFn,3,425,TA,TA,Y,52,112,0,0,0,0,,MnWw,,0,7,2007,WD,Normal,131400
444,60,RL,43.0,14850,Pave,,Reg,Lvl,AllPub,FR2,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2007,1995,Hip,CompShg,VinylSd,HdBoard,BrkFace,272.0,Gd,TA,PConc,Gd,TA,No,ALQ,733,Unf,0,371,1311,GasA,Ex,Y,SBrkr,1710,755,0,2574,1,0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,1957.0,Fin,3,630,TA,TA,Y,146,547,0,0,0,0,,MnPrv,,0,8,2009,WD,Partial,285000
298,60,RL,80.0,9230,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,1Story,8,5,2009,2007,Hip,CompShg,HdBoard,CmentBd,Stone,270.0,Gd,TA,PConc,Gd,TA,No,BLQ,404,Unf,0,1709,1710,GasA,Gd,Y,SBrkr,1358,1174,0,1505,1,0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,758,TA,TA,Y,166,42,0,0,0,0,,MnPrv,,0,7,2009,WD,Normal,239000
703,60,RL,80.0,12003,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,1Story,8,5,1989,1994,Hip,CompShg,CemntBd,VinylSd,BrkFace,232.0,Ex,TA,PConc,Gd,TA,Mn,ALQ,310,Unf,0,360,1358,GasA,Ex,Y,SBrkr,1425,975,0,1820,1,0,2,1,4,1,Ex,11,Typ,1,Gd,Attchd,1996.0,Fin,3,749,TA,TA,Y,35,35,0,0,0,0,,MnPrv,,0,7,2007,WD,Normal,410000
